"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan editor post test","POST Spartan 1 - name - Sumner","SUCCESS","2022-05-12T12:20:27.7140895-04:00[America/New_York]","0.0","1.56"
"Spartan editor post test","POST Spartan 2 - name - Urson","SUCCESS","2022-05-12T12:20:29.2775937-04:00[America/New_York]","0.0","0.1"
"Spartan editor post test","POST Spartan 3 - name - Agnese","SUCCESS","2022-05-12T12:20:29.3826998-04:00[America/New_York]","0.0","0.11"
"Spartan editor post test","POST Spartan 4 - name - Bradly","SUCCESS","2022-05-12T12:20:29.4938268-04:00[America/New_York]","0.0","0.11"
"Spartan editor post test","POST Spartan 5 - name - Ayn","SUCCESS","2022-05-12T12:20:29.6068306-04:00[America/New_York]","0.0","0.1"
"Spartan editor post test","POST Spartan 6 - name - Edsel","SUCCESS","2022-05-12T12:20:29.7088308-04:00[America/New_York]","0.0","0.1"
"Spartan editor post test","POST Spartan 7 - name - Eugenius","SUCCESS","2022-05-12T12:20:29.8146677-04:00[America/New_York]","0.0","0.1"
"Spartan editor post test","POST Spartan 8 - name - Dolly","SUCCESS","2022-05-12T12:20:29.9186728-04:00[America/New_York]","0.0","0.12"
"Spartan editor post test","POST Spartan 9 - name - Thayne","SUCCESS","2022-05-12T12:20:30.0438721-04:00[America/New_York]","0.0","0.09"
"Spartan editor post test","POST Spartan 10 - name - Zabrina","SUCCESS","2022-05-12T12:20:30.1387026-04:00[America/New_York]","0.0","0.1"
